,Start Time,Period (min),NE Name,BSC6910UCell,VS.HSDPA.MeanChThroughput (kbit/s),HSDPA_Data_Volume_MB (MB),Cell Availability (%),Overall Accessibility Success Rate PS Interactive EUL (%) (%),Max HSDPA UE (None),Mean HSDPA UE (None),cluster,,,,,,
112,2/18/2021 0:00,60,DRH38,"Label=NSSDR09HC, CellID=6911, LogicRNCID=838",1487.83,698.032,100,100,18,6.508,1,,,,,,
113,2/18/2021 0:00,60,DRH38,"Label=NSSDR09HB, CellID=6910, LogicRNCID=838",1735.737,1661.676,100,99.408,24,13.499,0,,,,,,
114,2/18/2021 0:00,60,DRH38,"Label=NSSDR09WC, CellID=14265, LogicRNCID=838",1602.557,299.214,100,100,31,5.256,0,,,,,,
115,2/18/2021 0:00,60,DRH38,"Label=NSSDR09WA, CellID=14263, LogicRNCID=838",1236.104,1567.708,100,100,24,14.962,0,,,,,,
116,2/18/2021 0:00,60,DRH38,"Label=NSSDR40WC, CellID=45406, LogicRNCID=838",1105.995,325.356,100,100,13,5.982,1,,,,,,
117,2/18/2021 0:00,60,DRH38,"Label=NSSDR40HA, CellID=11420, LogicRNCID=838",1236.826,117.192,100,99.134,8,2.846,2,,,,,,
118,2/18/2021 0:00,60,DRH38,"Label=NSSDR40WB, CellID=45405, LogicRNCID=838",1244.213,329.166,100,100,8,3.431,2,,,,,,
119,2/18/2021 0:00,60,DRH38,"Label=NSSDR47HB, CellID=61534, LogicRNCID=838",1346.084,1246.233,100,100,20,9.593,0,,,,,,
120,2/18/2021 0:00,60,DRH38,"Label=NSSDR47WC, CellID=61532, LogicRNCID=838",888.386,15.264,100,100,3,0.546,2,,,,,,
121,2/18/2021 0:00,60,DRH38,"Label=NSSDR47WB, CellID=23612, LogicRNCID=838",1476.788,769.672,100,99.762,20,9.45,0,,,,,,
122,2/18/2021 0:00,60,DRH38,"Label=NSSDR47WA, CellID=23611, LogicRNCID=838",1764.351,1006.987,100,100,11,4.474,1,,,,,,
123,2/18/2021 0:00,60,DRH38,"Label=NSSDR38WC, CellID=45339, LogicRNCID=838",2599.656,470.715,100,100,10,4.675,2,,,,,,
124,2/18/2021 0:00,60,DRH38,"Label=NSSDR38HC, CellID=37863, LogicRNCID=838",1330.397,397.311,100,100,11,5.824,1,,,,,,
125,2/18/2021 0:00,60,DRH38,"Label=NSSDR38HA, CellID=35532, LogicRNCID=838",2310.333,276.553,100,100,5,2.135,2,,,,,,
126,2/18/2021 0:00,60,DRH38,"Label=NSSDR49HA, CellID=44481, LogicRNCID=838",2007.329,955.666,100,100,17,9.006,1,,,,,,
127,2/18/2021 0:00,60,DRH38,"Label=NSSDR49WC, CellID=44480, LogicRNCID=838",2364.352,1353.821,100,100,14,7.033,1,,,,,,
128,2/18/2021 0:00,60,DRH38,"Label=NSSDR49WA, CellID=59439, LogicRNCID=838",1164.039,879.271,100,99.508,19,11.319,0,,,,,,
129,2/18/2021 0:00,60,DRH38,"Label=NSSDR06WF, CellID=48886, LogicRNCID=838",253.581,357.161,100,100,10,5.583,1,,,,,,
130,2/18/2021 0:00,60,DRH38,"Label=NSPLS06HC, CellID=63442, LogicRNCID=838",2308.057,962.187,100,100,12,5.467,1,,,,,,
131,2/18/2021 0:00,60,DRH38,"Label=NSPLS06HB, CellID=63441, LogicRNCID=838",2529.055,786.383,100,99.621,28,6.933,0,,,,,,
132,2/18/2021 0:00,60,DRH38,"Label=NSPLS06WC, CellID=45369, LogicRNCID=838",1273.138,590.001,100,100,14,8.503,1,,,,,,
133,2/18/2021 0:00,60,DRH38,"Label=NSPLS06WA, CellID=45349, LogicRNCID=838",878.145,193.172,100,100,14,3.276,1,,,,,,
134,2/18/2021 0:00,60,DRH38,"Label=NSSDR04HE, CellID=48883, LogicRNCID=838",1226.313,821.418,100,99.406,22,11.738,0,,,,,,
135,2/18/2021 0:00,60,DRH38,"Label=NSRPR03HE, CellID=48879, LogicRNCID=838",1297.342,621.841,100,100,17,4.799,1,,,,,,
136,2/18/2021 0:00,60,DRH38,"Label=GPKLG09WC, CellID=50589, LogicRNCID=838",1579.491,712.576,100,100,11,6.239,1,,,,,,
137,2/18/2021 0:00,60,DRH38,"Label=GPKLG09HC, CellID=11681, LogicRNCID=838",1257.441,215.506,100,99.638,9,4.496,2,,,,,,
138,2/18/2021 0:00,60,DRH38,"Label=GPKLG09HA, CellID=11679, LogicRNCID=838",972.377,1527.175,100,99.612,27,19.139,0,,,,,,
139,2/18/2021 0:00,60,DRH38,"Label=GPKLG04HC, CellID=11660, LogicRNCID=838",868.439,101.397,100,98.734,18,5.271,1,,,,,,
140,2/18/2021 0:00,60,DRH38,"Label=GPKLG04HB, CellID=11659, LogicRNCID=838",2322.592,755.153,100,99.016,17,7.386,1,,,,,,
141,2/18/2021 0:00,60,DRH38,"Label=GPKLG04WC, CellID=10807, LogicRNCID=838",1580.706,399.546,100,100,19,7.253,1,,,,,,
142,2/18/2021 0:00,60,DRH38,"Label=GPKLG04WA, CellID=10805, LogicRNCID=838",2064.669,496.649,100,99.744,12,5.679,1,,,,,,
143,2/18/2021 0:00,60,DRH38,"Label=GPKPS07WC, CellID=50738, LogicRNCID=838",1579.969,167.152,100,100,8,3.338,2,,,,,,
144,2/18/2021 0:00,60,DRH38,"Label=GPKPS07HC, CellID=11700, LogicRNCID=838",2226.504,674.321,100,100,7,3.571,2,,,,,,
145,2/18/2021 0:00,60,DRH38,"Label=GPKPS07HB, CellID=11699, LogicRNCID=838",1240.778,882.264,100,99.769,19,9.838,1,,,,,,
146,2/18/2021 0:00,60,DRH38,"Label=GPKLG08WC, CellID=50586, LogicRNCID=838",1694.64,323.532,100,100,8,3.838,2,,,,,,
147,2/18/2021 0:00,60,DRH38,"Label=GPKLG08WA, CellID=50584, LogicRNCID=838",1943.726,709.297,100,100,13,6.475,1,,,,,,
148,2/18/2021 0:00,60,DRH38,"Label=GPKLG08HB, CellID=11677, LogicRNCID=838",455.005,98.481,100,100,5,1.881,2,,,,,,
